model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
RandomForest_BAG_L1,1.0,0.8690494745389219,roc_auc,0.9884896278381348,4.847642421722412,3.0877552032470703,0.9884896278381348,4.847642421722412,3.0877552032470703,1,True,2
ExtraTrees_BAG_L1,0.9999999999999999,0.8618898723496787,roc_auc,1.2391951084136963,5.279361724853516,3.362642765045166,1.2391951084136963,5.279361724853516,3.362642765045166,1,True,4
WeightedEnsemble_L3,,0.8802789622815145,roc_auc,,24.26353883743286,1133.935971736908,,0.009200572967529297,2.713934898376465,3,False,14
WeightedEnsemble_L2,,0.8787512496846659,roc_auc,,12.361326694488525,685.2765045166016,,0.00921487808227539,1.641124963760376,2,False,7
CatBoost_BAG_L2,,0.8782717066447189,roc_auc,,12.405900955200195,788.7604761123657,,0.05378913879394531,105.12509655952454,2,False,10
LightGBM_BAG_L2,,0.8781673614533292,roc_auc,,12.711543321609497,712.7603514194489,,0.35943150520324707,29.124971866607666,2,False,8
XGBoost_BAG_L2,,0.8777964568323251,roc_auc,,12.60741138458252,707.1684532165527,,0.25529956817626953,23.533073663711548,2,False,12
NeuralNetTorch_BAG_L2,,0.8760329602313013,roc_auc,,12.9496328830719,967.2733895778656,,0.5975210666656494,283.6380100250244,2,False,13
ExtraTrees_BAG_L2,,0.8747607868516052,roc_auc,,17.83620810508728,686.5868761539459,,5.48409628868103,2.9514966011047363,2,False,11
RandomForest_BAG_L2,,0.8741542096354817,roc_auc,,17.50420069694519,686.8493881225586,,5.15208888053894,3.2140085697174072,2,False,9
LightGBM_BAG_L1,,0.8732916130822264,roc_auc,,1.3642501831054688,36.3789484500885,,1.3642501831054688,36.3789484500885,1,False,1
CatBoost_BAG_L1,,0.8724148118743231,roc_auc,,0.08887600898742676,273.0119287967682,,0.08887600898742676,273.0119287967682,1,False,3
XGBoost_BAG_L1,,0.8716660156929417,roc_auc,,0.25925540924072266,25.63802218437195,,0.25925540924072266,25.63802218437195,1,False,5
NeuralNetTorch_BAG_L1,,0.8610072699130704,roc_auc,,0.5127260684967041,342.1560821533203,,0.5127260684967041,342.1560821533203,1,False,6
